

----- New session! -----

               | Pressure         | Humidity        | TempOutside      | TempTop      | TempCamera      | DewPoint      
Time: 08:34:07 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:08 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:09 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:10 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:11 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:12 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:13 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:14 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:15 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:16 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:17 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:18 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:19 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:20 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:21 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:22 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:23 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:24 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:25 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:26 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:27 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
Time: 08:34:28 | Pressure: 1011.3 | Humidity: 45.0 | TempOutside: 25.0 | TempTop: 25.0 | TempCamera: 30.0 | DewPoint: 12.0
